Date,Rating,Title,Review
Date of stay: August 2022,20,Could Have Been Better,"We discovered a gecko in our room wandering freely on 5th August. We informed Guest Service which is helpful to chase the gecko out of the room. I had sent an email to Front Desk on 6th August to inform about this incident and they were nice to offer a room upgrade for 7th August which I declined as I am checking out on 8th August and it is inconvenient to pack and unpack my luggage. They also offered a free head, shoulder and neck massage. I have requested for the free massage to be changed to a full body massage with discounted rate and I will pay for the service. The Front Office was helpful to change it to a 1-for-1 offer for all spa packages. An appointment was booked at 4pm on 7th August and the Spa Team was copied via email.  On 7th August at around 1540 hrs, we received an in room call from the Spa Team that they wish to change our appointment if we want a full body massage to 20 00 hrs. or to the 8th August as they are not available, citing the reason that they did not see the email timely. We politely rejected them as the notice to change came 15 minutes BEFORE our appointment and we had made prior plans. The Spa Team then informed that they will make the necessary arrangement. When we arrived at the Spa, we wanted to book a 90-minutes full body massage but we were TOLD that ONLY 60-minute packages are available despite the email saying that we are offered 1-for-1 for spa packages. At this juncture, I am simply too exuberated with disappointment that I just accepted what is ""offered"".  I wish to highlight that it is not our duty to ensure that there is effective internal communication among the various hotel departments that resulted in this unpleasant experience.  We visit HCM often to visit my my in-laws and my stay with Park Hyatt is certainly the most unpleasant and disappointing."
Date of stay: August 2022,50,Above and beyond.,We stayed at the Park Hyatt for 2 nights. The hotel is in a great location to explore Saigon. It is a wonderful place to come back to from a day of exploring the local atteactions. There ate many great restaurants and cafes nearby. The hotel staffs are extremely helpful and courteous.
Date of stay: August 2022,50,First trip,Excellent concierge and helpful staff made the business trip go very smoothly. I would certainly return to the hotel and thought the location was ideal. The restaurants and bars were very good and the pool looked inviting
Date of stay: July 2022,50,weekend in Saigon,"Park Hyatt was a great hotel, which is centrally located in District 1, its close to major landmarks and, shopping malls and restaurants. easy walk to most places. Would recommend as a good place to stay"
Date of stay: July 2022,50,Great place to stay,The property was clean. Check in process was quick and prompt with staff who were all able to converse well and fluently in English. Would have loved more food choices though. But it’s central so that is not a huge issue.
Date of stay: July 2022,50,Beautiful hotel with amazing staff,"This hotel was selected for me by business associates. As my first visit to Vietnam it set a standard with its lovely lobby and kind staff. I would stay here again in a heartbeat. The flowers in the lobby, artwork and staff’s willingness to always help with a photo your stay willl be a pleasant one."
Date of stay: July 2022,50,Outstanding hotel in a bustling city,"Stayed at Park Hyatt Saigon for 3 idays and very pleased with the property, and the staff. Would highly recommend for anybody coming to Ho Chi Minh. We were there with a group of 20 but most of our friends stayed at other properties and they chose our location as the meeting point everytime. Great location."
Date of stay: July 2022,50,Luxurious experience in Ho Chi Minh City,"Oasis in central District 1 with easy access to tourist sites, restaurants, bars and shopping. Great service, but not overbearing. Super comfortable room with all the amenities but still maintained Vietnamese cultural feel. Terrific food and beverage services."
Date of stay: July 2022,50,Amazing Hotel and staff - highly recommend!,"It was an absolute pleasure staying at Park Hyatt Saigon. The hotel was lovely and clean, staff were extremely kind and helpful and the breakfast was just amazing. The location was great too with restaurants and department stores just around the corner."
Date of stay: July 2022,50,wonderful experience in Park Hyatt Saigon,"Wonderful stay Park Hyatt Saigon everything is perfect : helpfulness kindness of staffs, attention to details... Food quality above expectation They made our stay so special that I m looking forward to visiting this city specially to stay at this hotel"
Date of stay: July 2022,50,Sensational Luxury City Break,"Love this hotel ! It is well positioned in the HCM city. Have been staying at this hotel on visits to Vietnam since it first opened. Love the city glamour it now brings. Spa and pool facilities are amazing! Food is always superb. Concierge is extremely helpful. We also used the fast track through customs option when we arrived, along with using their drivers to pick up and drop off when we did internal travel. Superb service all around!"
Date of stay: July 2022,50,Excellent stay at Park Hyatt,"Stay was beyond our expectations, which was high. The concierge and staff were some of the best aspects of this hotel. Great location, food, rooms, pool. Hotel was beautiful, felt like I was in a movie set."
Date of stay: July 2022,50,Excellent hotel in Ho Chi Minh,"Great location and even better service from the Park Hyatt Saigon. Hotel staff made us feel welcome. We enjoyed the restaurants, pool, and lobby. A very warm and helpful staff. I would recommend highly if you are staying in Ho Chi Minh."
Date of stay: July 2022,50,"Payk Hyatt Saigon never disappoints, still the best","I have stayed in PHS both for business and for extended visit, the experience is still unparalleled from the moment you step in and are greeted with magnificent and luxurious floral arrangements, thick elegant carpets of bird/ foliage that were a treat for the senses and offered a wonderful respite for rest and recharge."
Date of stay: July 2022,50,"Exceptional Service, As Always",I always have a great experience when staying here. The service is best in class and the team is warm and genuinely hospitable. The property is also maintained very well. I've been coming here for 10+ years and it still looks like it was built last year. I can't recommend the hotel enough for a consistently exceptional experience.
Date of stay: July 2022,50,"Great location, beautiful property, terrific staff",Nothing better than coming in from a hot day of sightseeing to this perfect in every way hotel. Can't recommend this hotel enough. And our garden terrace room by the pool was the icing on the cake! The staff went out fo their way to make our stay everything we could have possibly wanted.
Date of stay: July 2022,20,Not for families - not for holidays…. what a disappointment. :(,"Amazing building, as you enter the lobby it certainly has the “wow” factor. We stayed here for 2 nights after a long family holiday in northern vietnam before flying home to HK.  On arrival I was so impressed by the building that we happily paid (an extra $400 a night) to upgraded to one of the larger suites. The executive suite was beautiful — as were the fresh flowers, wine and the martini mixer they left in the room.  It’s possible that the great start caused high expectations but whatever the case we we’re left THOROUGHLY DISAPPOINTED. So much so that i’m writing my first ever review here.  Mistakes happen in life (as for sure they do in my business ) and i hate reading reviews that focus on a small mistake here or there. It’s the overall experience that should be judged, not one or two low points.  The problem here was the whole experience left me and my wife thoroughly disappointed. Great service is making hard requests look simple - this hotel was the absolute opposite - anything you asked of them was way too much trouble.  We’re a family of three (4 yr old daughter) so don’t want anything fancy but we’re really disappointed that almost every request we had was met with a NO.  For example the afternoon tea is served in the lobby with a dressy crowd - we asked if we could possibly have it served 10 feet away in their casual restaurant as i didn’t want my wife to feel uncomfortable if my daughter made to much noise “NO” Similarly we walked in the building post dinner with my daughter was asleep in our arms and my wife didn’t feel well so asked for a paracetamol. “NO” go across the road and buy one was the message. Similar issues happened with taxi hailing, umbrella useage, housekeeping and room service to name a few…. (huge sigh…)  When asked a second or third time of course someone said we could have the scones served just a few feet away. Similarly after my daughter had been woken up by the back and forth and was crying they quickly offered some paracetamol etc.  The issue is they just didn’t make us feel welcome at all and the hotel just does NOT seem set up to look after families. It’s such a waste of a beautiful building and amazing rooms (although breakfast was great).  DO NOT GO AS A FAMILY, and don’t expect a premium service for a premium room. They need to get their act together with the MO being build across the street.  To top it all off i asked for the manager (after i’d paid the bill etc) just to highlight some issues as our car to the airport was running late. The concierge made us feel very comfortable again as to why we should call for a manager.  Nice guy came out and said sorry and was also sorry that it was too late to do anything for us. We didn’t ask for anything … i just explained why we had such a negative experience.  He waited till our car arrived and opened the door for us. Nice to this to do this … Nothing more nothing less.Again we didn’t ask for anything but if i was a manager and someone was that disappointed in their stay (and a loyalty member) the least i’d do is send them am email afterwards to try abs keep some brand loyalty… g  Guess we’ll never stay there again - or maybe any hyatt hotel. The four seasons, Intercon and Banyan tree we stayed at on this trip all LIGHT years ahead.  Go for a function, go for for a business trip … DONT GO FOR A HOLIDAY is our view. What a shame :("
